pais,populacao,year
Afghanistan,37172386,2018
Albania,2866376,2018
Algeria,42228429,2018
American Samoa,55465,2018
Andorra,77006,2018
Angola,30809762,2018
Antigua and Barbuda,96286,2018
Arab World,419790588,2018
Argentina,44494502,2018
Armenia,2951776,2018
Aruba,105845,2018
Australia,24992369,2018
Austria,8847037,2018
Azerbaijan,9942334,2018
"Bahamas, The",385640,2018
Bahrain,1569439,2018
Bangladesh,161356039,2018
Barbados,286641,2018
Belarus,9485386,2018
Belgium,11422068,2018
Belize,383071,2018
Benin,11485048,2018
Bermuda,63968,2018
Bhutan,754394,2018
Bolivia,11353142,2018
Bosnia and Herzegovina,3323929,2018
Botswana,2254126,2018
Brazil,209469333,2018
British Virgin Islands,29802,2018
Brunei Darussalam,428962,2018
Bulgaria,7024216,2018
Burkina Faso,19751535,2018
Burundi,11175378,2018
Cabo Verde,543767,2018
Cambodia,16249798,2018
Cameroon,25216237,2018
Canada,37058856,2018
Caribbean small states,7358965,2018
Cayman Islands,64174,2018
Central African Republic,4666377,2018
Central Europe and the Baltics,102511922,2018
Chad,15477751,2018
Channel Islands,170499,2018
Chile,18729160,2018
China,1392730000,2018
Colombia,49648685,2018
Comoros,832322,2018
"Congo, Dem. Rep.",84068091,2018
"Congo, Rep.",5244363,2018
Costa Rica,4999441,2018
Cote d'Ivoire,25069229,2018
Croatia,4089400,2018
Cuba,11338138,2018
Curacao,159849,2018
Cyprus,1189265,2018
Czech Republic,10625695,2018
Denmark,5797446,2018
Djibouti,958920,2018
Dominica,71625,2018
Dominican Republic,10627165,2018
Early-demographic dividend,3249140605,2018
East Asia & Pacific,2328220870,2018
East Asia & Pacific (IDA & IBRD countries),2056064424,2018
East Asia & Pacific (excluding high income),2081651801,2018
Ecuador,17084357,2018
"Egypt, Arab Rep.",98423595,2018
El Salvador,6420744,2018
Equatorial Guinea,1308974,2018
Eritrea,3213972,2011
Estonia,1320884,2018
Eswatini,1136191,2018
Ethiopia,109224559,2018
Euro area,341783171,2018
Europe & Central Asia,918793590,2018
Europe & Central Asia (IDA & IBRD countries),459865205,2018
Europe & Central Asia (excluding high income),417797257,2018
European Union,513213363,2018
Faroe Islands,48497,2018
Fiji,883483,2018
Finland,5518050,2018
Fragile and conflict affected situations,515215936,2018
France,66987244,2018
French Polynesia,277679,2018
Gabon,2119275,2018
"Gambia, The",2280102,2018
Georgia,3731000,2018
Germany,82927922,2018
Ghana,29767108,2018
Gibraltar,33718,2018
Greece,10727668,2018
Greenland,56025,2018
Grenada,111454,2018
Guam,165768,2018
Guatemala,17247807,2018
Guinea,12414318,2018
Guinea-Bissau,1874309,2018
Guyana,779004,2018
Haiti,11123176,2018
Heavily indebted poor countries (HIPC),780234406,2018
High income,1210312147,2018
Honduras,9587522,2018
"Hong Kong SAR, China",7451000,2018
Hungary,9768785,2018
IBRD only,4772284113,2018
IDA & IBRD total,6412522234,2018
IDA blend,555830605,2018
IDA only,1084407516,2018
IDA total,1640238121,2018
Iceland,353574,2018
India,1352617328,2018
Indonesia,267663435,2018
"Iran, Islamic Rep.",81800269,2018
Iraq,38433600,2018
Ireland,4853506,2018
Isle of Man,84077,2018
Israel,8883800,2018
Italy,60431283,2018
Jamaica,2934855,2018
Japan,126529100,2018
Jordan,9956011,2018
Kazakhstan,18276499,2018
Kenya,51393010,2018
Kiribati,115847,2018
"Korea, Dem. People’s Rep.",25549819,2018
"Korea, Rep.",51635256,2018
Kosovo,1845300,2018
Kuwait,4137309,2018
Kyrgyz Republic,6315800,2018
Lao PDR,7061507,2018
Late-demographic dividend,2288665963,2018
Latin America & Caribbean,641357515,2018
Latin America & Caribbean (excluding high income),609013934,2018
Latin America & the Caribbean (IDA & IBRD countries),625569713,2018
Latvia,1926542,2018
Least developed countries: UN classification,1009662578,2018
Lebanon,6848925,2018
Lesotho,2108132,2018
Liberia,4818977,2018
Libya,6678567,2018
Liechtenstein,37910,2018
Lithuania,2789533,2018
Low & middle income,6383958209,2018
Low income,705417321,2018
Lower middle income,3022905169,2018
Luxembourg,607728,2018
"Macao SAR, China",631636,2018
Madagascar,26262368,2018
Malawi,18143315,2018
Malaysia,31528585,2018
Maldives,515696,2018
Mali,19077690,2018
Malta,483530,2018
Marshall Islands,58413,2018
Mauritania,4403319,2018
Mauritius,1265303,2018
Mexico,126190788,2018
"Micronesia, Fed. Sts.",112640,2018
Middle East & North Africa,448912859,2018
Middle East & North Africa (IDA & IBRD countries),378327628,2018
Middle East & North Africa (excluding high income),382896715,2018
Middle income,5678540888,2018
Moldova,3545883,2018
Monaco,38682,2018
Mongolia,3170208,2018
Montenegro,622345,2018
Morocco,36029138,2018
Mozambique,29495962,2018
Myanmar,53708395,2018
Namibia,2448255,2018
Nauru,12704,2018
Nepal,28087871,2018
Netherlands,17231017,2018
New Caledonia,284060,2018
New Zealand,4885500,2018
Nicaragua,6465513,2018
Niger,22442948,2018
Nigeria,195874740,2018
North America,364290258,2018
North Macedonia,2082958,2018
Northern Mariana Islands,56882,2018
Norway,5314336,2018
OECD members,1303529456,2018
Oman,4829483,2018
Other small states,30758989,2018
Pacific island small states,2457367,2018
Pakistan,212215030,2018
Palau,17907,2018
Panama,4176873,2018
Papua New Guinea,8606316,2018
Paraguay,6956071,2018
Peru,31989256,2018
Philippines,106651922,2018
Poland,37978548,2018
